date,asset,price,signal,order,rsi,sentiment,comment
2025-12-19,ADA-USDT,0.3767,buy,buy,38.54507011226941,POSITIVE,"BUY|S:0.81 R:38.5 B:0.21 M:-0.01"
2025-12-19,BNB-USDT,856.17,buy,buy,43.52855785662722,POSITIVE,"BUY|S:0.81 R:43.5 B:0.27 M:-6.68"
2025-12-19,BTC-USDT,88136.94,buy,buy,44.70169896522725,POSITIVE,"BUY|S:0.81 R:44.7 B:0.34 M:-657.68"
2025-12-19,DOGE-USDT,0.13222,buy,buy,42.70274712678156,POSITIVE,"BUY|S:0.81 R:42.7 B:0.29 M:-0.00"
2025-12-19,DOT-USDT,1.849,buy,buy,32.92069773635776,POSITIVE,"BUY|S:0.81 R:32.9 B:0.17 M:-0.01"
2025-12-19,ETH-USDT,2979.5,buy,buy,46.605432659781634,POSITIVE,"BUY|S:0.81 R:46.6 B:0.37 M:-44.67"
2025-12-19,LTC-USDT,77.49,buy,buy,38.92569423761791,POSITIVE,"BUY|S:0.81 R:38.9 B:0.23 M:-0.33"
2025-12-19,SOL-USDT,126.27,buy,buy,43.89103853306418,POSITIVE,"BUY|S:0.81 R:43.9 B:0.25 M:-1.46"
2025-12-19,XRP-USDT,1.9092,buy,buy,40.946291827287325,POSITIVE,"BUY|S:0.81 R:40.9 B:0.22 M:-0.02"
2025-12-20,ADA-USDT,0.373,buy,none,37.83520634096814,NEGATIVE,"BUY|S:0.99 R:37.8 B:0.21 M:-0.01"
2025-12-20,BNB-USDT,854.17,buy,none,43.147198753135854,NEGATIVE,"BUY|S:0.99 R:43.1 B:0.27 M:-5.70"
2025-12-20,BTC-USDT,88360.9,sell,sell,45.309904567946205,NEGATIVE,"SELL|S:0.99 R:45.3 B:0.37 M:-488.38"
2025-12-20,DOGE-USDT,0.13194,sell,sell,42.508147874978654,NEGATIVE,"SELL|S:0.99 R:42.5 B:0.31 M:-0.00"
2025-12-20,DOT-USDT,1.832,buy,none,32.3626266107489,NEGATIVE,"BUY|S:0.99 R:32.4 B:0.18 M:-0.01"
2025-12-20,ETH-USDT,2977.93,sell,sell,46.53417109820499,NEGATIVE,"SELL|S:0.99 R:46.5 B:0.37 M:-36.24"
2025-12-20,LTC-USDT,77.84,buy,none,39.68465408838745,NEGATIVE,"BUY|S:0.99 R:39.7 B:0.28 M:-0.16"
2025-12-20,SOL-USDT,125.81,buy,none,43.46993875408932,NEGATIVE,"BUY|S:0.99 R:43.5 B:0.25 M:-1.18"
2025-12-20,XRP-USDT,1.9335,sell,sell,42.916330003774455,NEGATIVE,"SELL|S:0.99 R:42.9 B:0.30 M:-0.01"
2025-12-21,ADA-USDT,0.3662,buy,none,36.50461167842407,POSITIVE,"BUY|S:0.94 R:36.5 B:0.17 M:-0.01"
2025-12-21,BNB-USDT,858.64,buy,none,44.321314793647545,POSITIVE,"BUY|S:0.94 R:44.3 B:0.28 M:-4.49"
2025-12-21,BTC-USDT,88658.86,buy,buy,46.15836012242394,POSITIVE,"BUY|S:0.94 R:46.2 B:0.39 M:-336.69"
2025-12-21,DOGE-USDT,0.13112,buy,buy,41.90586479406625,POSITIVE,"BUY|S:0.94 R:41.9 B:0.29 M:-0.00"
2025-12-21,DOT-USDT,1.802,buy,none,31.35255880391326,POSITIVE,"BUY|S:0.94 R:31.4 B:0.18 M:-0.01"
2025-12-21,ETH-USDT,3002.02,buy,buy,47.85176103377846,POSITIVE,"BUY|S:0.94 R:47.9 B:0.39 M:-27.79"
2025-12-21,LTC-USDT,76.79,buy,none,38.15288403800872,POSITIVE,"BUY|S:0.94 R:38.2 B:0.21 M:-0.09"
2025-12-21,SOL-USDT,126.03,buy,none,43.74790839384581,POSITIVE,"BUY|S:0.94 R:43.7 B:0.26 M:-0.92"
2025-12-21,XRP-USDT,1.9223,buy,buy,42.217270645784126,POSITIVE,"BUY|S:0.94 R:42.2 B:0.29 M:-0.01"
2025-12-22,ADA-USDT,0.3711,buy,none,38.19143721117231,POSITIVE,"BUY|S:0.99 R:38.2 B:0.24 M:-0.00"
2025-12-22,BNB-USDT,858.66,buy,none,44.3268548230036,POSITIVE,"BUY|S:0.99 R:44.3 B:0.29 M:-3.46"
2025-12-22,BTC-USDT,88620.79,buy,none,46.06003730924369,POSITIVE,"BUY|S:0.99 R:46.1 B:0.40 M:-224.67"
2025-12-22,DOGE-USDT,0.13258,buy,none,43.442402149136775,POSITIVE,"BUY|S:0.99 R:43.4 B:0.35 M:0.00"
2025-12-22,DOT-USDT,1.784,buy,none,30.732769049227244,POSITIVE,"BUY|S:0.99 R:30.7 B:0.18 M:-0.00"
2025-12-22,ETH-USDT,3009.49,buy,none,48.277411099216565,POSITIVE,"BUY|S:0.99 R:48.3 B:0.40 M:-20.77"
2025-12-22,LTC-USDT,77.05,buy,none,38.78298746067379,POSITIVE,"BUY|S:0.99 R:38.8 B:0.25 M:-0.00"
2025-12-22,SOL-USDT,125.93,buy,none,43.64285910784857,POSITIVE,"BUY|S:0.99 R:43.6 B:0.28 M:-0.69"
2025-12-22,XRP-USDT,1.9043,buy,none,41.05970282520593,POSITIVE,"BUY|S:0.99 R:41.1 B:0.27 M:-0.01"
2025-12-23,ADA-USDT,0.3628,buy,none,36.42617878537081,NEGATIVE,"BUY|S:0.97 R:36.4 B:0.21 M:-0.00"
2025-12-23,BNB-USDT,844.3,buy,none,41.16013925084488,NEGATIVE,"BUY|S:0.97 R:41.2 B:0.16 M:-3.52"
2025-12-23,BTC-USDT,87486,buy,none,43.112086239933014,NEGATIVE,"BUY|S:0.97 R:43.1 B:0.29 M:-212.86"
